G(trig → rea),G(rea)
G(trig → F(rel)),GF(rel)
G(trig → F(rel ∨ rea)),GF(rel ∨ rea)
G(trig → F(rea)),GF(rea)
G(trig → (rel ∨ rea)),G(rel ∨ rea)
G(trig → (rel ∨ inv)),G(rel ∨ inv)
G(trig → (rel ∨ (inv ∧ rea))),G(rel ∨ (inv ∧ rea))
G(trig → (inv U rel)),G(inv U rel)
G(trig → (inv U (rel ∨ (inv ∧ rea)))),G(inv U (rel ∨ (inv ∧ rea)))
G(trig → (inv U (inv ∧ rea))),G(inv U (inv ∧ rea))
G(trig → (inv ∨ (inv U rel))),G(inv ∨ (inv U rel))
G(trig → (inv ∨ ((inv ∧ ¬del) U rel))),G(inv ∨ ((inv ∧ ¬del) U rel))
G(trig → (inv ∧ rea)),G(inv ∧ rea)
G(trig → (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U rel))),G(inv ∧ ¬fin ∧ F(rel))
G(trig → (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ inv))))),G(inv ∧ ¬fin ∧ F(rel ∨ (fin ∧ inv)))
G(trig → (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ (inv ∧ rea)))))),G(inv ∧ ¬fin ∧ F(rel ∨ (fin ∧ (inv ∧ rea))))
G(trig → (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (fin ∧ (inv U rel))))),G(inv ∧ ¬fin ∧ F(fin ∧ (inv U rel)))
G(trig → (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (fin ∧ (inv U (rel ∨ (inv ∧ rea))))))),G(inv ∧ ¬fin ∧ F(fin ∧ (inv U (rel ∨ (inv ∧ rea)))))
G(trig → (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (fin ∧ (inv U (inv ∧ rea)))))),G(inv ∧ (G(¬fin) ∨ F(fin ∨ F(rea))))
G(trig → (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (fin ∧ (inv ∨ (inv U rel)))))),G(inv ∧ ¬fin ∧ F(fin ∧ (inv ∨ (inv U rel))))
G(trig → (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (fin ∧ (inv ∨ ((inv ∧ ¬del) U rel)))))),G(inv ∧ ¬fin ∧ F(fin ∧ (inv ∨ ((inv ∧ ¬del) U rel))))
G(trig → (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (fin ∧ (inv ∧ rea))))),G(inv ∧ (G(¬fin) ∨ F(fin ∨ rea)))
G(trig → (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (fin ∧ ((inv ∧ ¬del) U rel))))),G(inv ∧ ¬fin ∧ F(fin ∧ ((inv ∧ ¬del) U rel)))
G(trig → (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (fin ∧ ((inv ∧ ¬del) U (rel ∨ (inv ∧ rea))))))),G(inv ∧ ¬fin ∧ F(fin ∧ ((inv ∧ ¬del) U (rel ∨ (inv ∧ rea)))))
G(trig → (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (fin ∧ ((inv ∧ ¬del) U (inv ∧ rea)))))),G(inv ∧ ¬fin ∧ F(fin ∧ ((inv ∧ ¬del) U (inv ∧ rea))))
G(trig → (G(¬fin) ∨ (¬fin U rel))),G(¬fin ∧ F(rel))
G(trig → (G(¬fin) ∨ (¬fin U (rel ∨ (fin ∧ rea))))),G(¬fin ∧ F(rel ∨ (fin ∧ rea)))
G(trig → (G(¬fin) ∨ (¬fin U (rel ∨ (fin ∧ F(rel)))))),G(¬fin ∧ F(rel ∨ (fin ∧ F(rel))))
G(trig → (G(¬fin) ∨ (¬fin U (fin ∧ rea)))),G(¬fin ∧ F(fin ∧ rea))
G(trig → (G(¬fin) ∨ (¬fin U (fin ∧ F(rel ∨ rea))))),G(¬fin ∧ F(fin ∧ F(rel ∨ rea)))
G(trig → (G(¬fin) ∨ (¬fin U (fin ∧ F(rea))))),G(¬fin ∧ F(fin ∧ F(rea)))
G(trig → (G(¬fin) ∨ (¬fin U (fin ∧ (¬del U rel))))),G(¬fin ∧ F(fin ∧ (¬del U rel)))
G(trig → (G(¬fin) ∨ (¬fin U (fin ∧ (¬del U rea))))),G(¬fin ∧ F(fin ∧ (¬del U rea)))
G(trig → (G(¬fin) ∨ (¬fin U (fin ∧ (¬del U (rel ∨ rea)))))),G(¬fin ∧ F(fin ∧ (¬del U (rel ∨ rea))))
G(trig → (¬del U rel)),G(¬del U rel)
G(trig → (¬del U rea)),G(¬del U rea)
G(trig → (¬del U (rel ∨ rea))),G(¬del U (rel ∨ rea))
G(trig → ((inv ∧ ¬del) U rel)),G((inv ∧ ¬del) U rel)
G(trig → ((inv ∧ ¬del) U (rel ∨ (inv ∧ rea)))),G((inv ∧ ¬del) U (rel ∨ (inv ∧ rea)))
G(trig → ((inv ∧ ¬del) U (inv ∧ rea))),G(inv ∧ (¬del U rea))